epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
69,50.6899,0.36066,0.52107,0.36876,0.97076,0,0.99702,0.85714,0.86665,0.82661,0.99702,0.85714,0.8554,0.80416,0.35952,1.74225,0.44913,0.75238,0,0.0006536,0.0006536,0.0006536
70,51.4001,0.34777,0.50546,0.33972,0.95196,0,0.99705,0.85714,0.86699,0.82529,0.99705,0.85714,0.8554,0.79481,0.36748,1.06961,0.46309,0.75959,0,0.0006338,0.0006338,0.0006338
71,52.1242,0.34361,0.7121,0.3686,0.96099,0,0.99702,0.85714,0.86814,0.8183,0.99702,0.85714,0.8554,0.77914,0.38004,1.11606,0.4875,0.79058,0,0.000614,0.000614,0.000614
72,52.8757,0.33034,0.47145,0.34235,0.94066,0,0.99692,0.85714,0.89357,0.8245,0.99692,0.85714,0.85541,0.7893,0.36883,3.52304,0.41821,0.83061,0,0.0005942,0.0005942,0.0005942
73,53.5719,0.32544,0.52563,0.3387,0.95201,0,0.99695,0.85714,0.89136,0.82051,0.99695,0.85714,0.8554,0.78657,0.36311,3.45687,0.41524,0.84969,0,0.0005744,0.0005744,0.0005744
74,54.2671,0.34235,0.4997,0.35199,0.97367,0,0.99683,0.85714,0.88292,0.82466,0.99683,0.85714,0.85539,0.78329,0.35422,3.34459,0.4168,0.8463,0,0.0005546,0.0005546,0.0005546
75,54.9674,0.29424,0.46488,0.30514,0.93211,0,0.9964,0.85714,0.8757,0.81979,0.9964,0.85714,0.85539,0.7819,0.33221,2.86919,0.41016,0.82259,0,0.0005348,0.0005348,0.0005348
76,55.6958,0.33512,0.50423,0.33462,0.94783,0,0.99698,0.85714,0.86035,0.8184,0.99698,0.85714,0.85539,0.79613,0.31512,1.91238,0.38246,0.76788,0,0.000515,0.000515,0.000515
77,56.3822,0.35705,0.51302,0.34457,0.95745,0,0.99714,0.85714,0.86085,0.82295,0.99714,0.85714,0.8554,0.80703,0.30883,2.18926,0.39147,0.75288,0,0.0004952,0.0004952,0.0004952
78,57.0846,0.31773,0.43821,0.32783,0.94925,0,0.99713,0.85714,0.8605,0.81817,0.99713,0.85714,0.85541,0.80438,0.30939,3.2699,0.38177,0.74832,0,0.0004754,0.0004754,0.0004754
79,57.821,0.30347,0.54119,0.32303,0.92248,0,0.99711,0.85714,0.8656,0.82015,0.99711,0.85714,0.85542,0.80204,0.32354,3.25908,0.36885,0.75573,0,0.0004556,0.0004556,0.0004556
80,58.5877,0.35346,0.52797,0.34382,0.96069,0,0.99708,0.85714,0.88288,0.81685,0.99708,0.85714,0.86015,0.81157,0.33021,3.3196,0.37476,0.77159,0,0.0004358,0.0004358,0.0004358
81,59.2863,0.31278,0.48904,0.3212,0.93786,0,0.99707,0.85714,0.88171,0.8182,0.99707,0.85714,0.85954,0.81927,0.32745,3.07496,0.37908,0.76732,0,0.000416,0.000416,0.000416
82,60.0002,0.31751,0.51248,0.31803,0.93836,0,0.99703,0.85714,0.88582,0.81875,0.99703,0.85714,0.85868,0.81802,0.32544,3.09043,0.39478,0.76853,0,0.0003962,0.0003962,0.0003962
83,60.6942,0.29049,0.45224,0.30119,0.95318,0,0.99693,0.85714,0.89037,0.81839,0.99693,0.85714,0.85798,0.81683,0.318,3.34655,0.3925,0.76723,0,0.0003764,0.0003764,0.0003764
84,61.4073,0.36261,0.45668,0.33611,0.99249,0,0.99701,0.85714,0.8933,0.82335,0.99701,0.85714,0.85544,0.80245,0.3205,2.23473,0.43306,0.78908,0,0.0003566,0.0003566,0.0003566
85,62.1167,0.29094,0.44506,0.30692,0.92903,0,0.99701,0.85714,0.91556,0.83372,0.99701,0.85714,0.85544,0.80396,0.32788,2.52382,0.45689,0.79415,0,0.0003368,0.0003368,0.0003368
86,62.8638,0.27337,0.3965,0.28727,0.91905,0,1,0.90205,0.90781,0.82394,0.99688,0.85714,0.85544,0.79518,0.33978,3.14186,0.46494,0.79685,0,0.000317,0.000317,0.000317
87,63.5802,0.35977,0.54093,0.33193,0.96671,0,1,0.90226,0.9077,0.82824,0.99679,0.85714,0.85543,0.79497,0.34597,3.24285,0.43982,0.79983,0,0.0002972,0.0002972,0.0002972
88,64.303,0.29884,0.41154,0.31525,0.92833,0,0.997,0.85714,0.90424,0.8239,0.997,0.85714,0.85543,0.7923,0.32745,2.74706,0.38208,0.78586,0,0.0002774,0.0002774,0.0002774
89,65.0349,0.29568,0.4191,0.29289,0.96485,0,0.99699,0.85714,0.86465,0.81871,0.99699,0.85714,0.8558,0.78714,0.32547,2.4275,0.36252,0.78332,0,0.0002576,0.0002576,0.0002576
90,65.7507,0.25514,0.35218,0.26719,0.91814,0,0.99697,0.85714,0.88366,0.82369,0.99697,0.85714,0.85542,0.78661,0.33302,2.64188,0.37518,0.78222,0,0.0002378,0.0002378,0.0002378
91,67.0963,0.21492,0.35239,0.49103,0.91324,0,0.99704,0.85714,0.87505,0.81915,0.99704,0.85714,0.85542,0.79267,0.32038,3.32178,0.38454,0.76506,0,0.000218,0.000218,0.000218
92,67.8429,0.19461,0.38602,0.4387,0.90063,0,0.99706,0.85714,0.87011,0.81979,0.99706,0.85714,0.85542,0.80032,0.3095,3.54599,0.35163,0.73439,0,0.0001982,0.0001982,0.0001982
93,68.5702,0.21608,0.34053,0.42989,0.9106,0,0.9971,0.85714,0.86064,0.81725,0.9971,0.85714,0.85542,0.79361,0.31476,3.63132,0.39105,0.72961,0,0.0001784,0.0001784,0.0001784
94,69.2654,0.18802,0.33961,0.4013,0.87993,0,0.99707,0.85714,0.86179,0.82228,0.99707,0.85714,0.85543,0.79344,0.31362,3.72797,0.42112,0.72583,0,0.0001586,0.0001586,0.0001586
95,69.9616,0.20666,0.37919,0.39082,0.94781,0,0.99709,0.85714,0.86452,0.82389,0.99709,0.85714,0.85543,0.7945,0.31091,3.80151,0.43817,0.73095,0,0.0001388,0.0001388,0.0001388
96,70.6759,0.18649,0.33007,0.38003,0.90879,0,0.99709,0.85714,0.87395,0.81919,0.99709,0.85714,0.8564,0.79015,0.3062,3.88399,0.43325,0.735,0,0.000119,0.000119,0.000119
97,71.402,0.1992,0.32724,0.37448,0.91737,0,0.99708,0.85714,0.87941,0.82015,0.99708,0.85714,0.85652,0.79035,0.30462,3.89413,0.41781,0.73247,0,9.92e-05,9.92e-05,9.92e-05
98,72.095,0.17653,0.32609,0.34635,0.8802,0,0.99708,0.85714,0.88102,0.81902,0.99708,0.85714,0.85544,0.78876,0.30583,3.90092,0.41413,0.73362,0,7.94e-05,7.94e-05,7.94e-05
99,72.7998,0.18589,0.30156,0.35332,0.93113,0,0.99708,0.85714,0.87876,0.82009,0.99708,0.85714,0.86284,0.7903,0.3057,3.90461,0.41304,0.73372,0,5.96e-05,5.96e-05,5.96e-05
100,73.5422,0.16315,0.2827,0.31725,0.89496,0,0.99711,0.85714,0.87791,0.82444,0.99711,0.85714,0.86218,0.7942,0.2998,3.96758,0.39344,0.72898,0,3.98e-05,3.98e-05,3.98e-05
