epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
48,212.9,0.92693,1.5979,1.20993,1.24856,0,0.56655,0.65079,0.60974,0.4215,0.55684,0.65079,0.57458,0.38876,0.88703,1.64202,1.68877,1.26672,0,0.0010694,0.0010694,0.0010694
49,217.55,0.97633,1.54337,1.16011,1.30122,0,0.52762,0.53968,0.51992,0.32856,0.53387,0.57143,0.4884,0.3129,1.01022,1.68034,4.5813,1.32109,0,0.0010496,0.0010496,0.0010496
50,222.155,0.9182,1.54177,1.19039,1.2616,0,0.50684,0.5873,0.54297,0.39003,0.49314,0.57143,0.51826,0.36326,0.88184,1.69434,2.41623,1.22408,0,0.0010298,0.0010298,0.0010298
51,226.78,0.88796,1.43153,1.04214,1.21133,0,0.5111,0.6472,0.5634,0.39275,0.5111,0.6472,0.52446,0.37935,0.96394,2.22909,3.04308,1.28213,0,0.00101,0.00101,0.00101
52,231.343,0.90189,1.44917,1.43874,1.21404,0,0.50062,0.61905,0.5452,0.36726,0.48779,0.60317,0.51104,0.33999,0.99668,1.73963,2.07454,1.31459,0,0.0009902,0.0009902,0.0009902
53,233.477,0.83049,1.38641,1.10681,1.17478,0,0.54894,0.65079,0.59707,0.4229,0.54894,0.65079,0.57408,0.39583,0.90549,1.51874,2.33406,1.28363,0,0.0009704,0.0009704,0.0009704
54,237.986,0.85679,1.45277,1.06912,1.22158,0,0.5384,0.61905,0.58382,0.38387,0.52067,0.60346,0.54649,0.37076,0.98218,1.70731,1.91453,1.34227,0,0.0009506,0.0009506,0.0009506
55,242.507,0.78507,1.29389,1.19137,1.17185,0,0.62595,0.50473,0.60228,0.42159,0.61322,0.57143,0.57149,0.40119,0.86135,1.58718,1.59039,1.26471,0,0.0009308,0.0009308,0.0009308
56,247.1,0.85865,1.39017,1.06134,1.24376,0,0.48911,0.49206,0.46497,0.33605,0.52409,0.47619,0.45816,0.31615,0.89897,1.69924,1.72825,1.23719,0,0.000911,0.000911,0.000911
57,251.684,0.88929,1.37959,1.09192,1.22272,0,0.49046,0.52381,0.46567,0.33654,0.49046,0.52381,0.43243,0.3094,0.91508,1.68603,1.86562,1.25057,0,0.0008912,0.0008912,0.0008912
58,256.301,0.81199,1.47379,0.97338,1.17174,0,0.55967,0.65079,0.55901,0.40061,0.54475,0.63492,0.51236,0.37553,0.86159,1.72839,2.82203,1.22608,0,0.0008714,0.0008714,0.0008714
59,260.854,0.77962,1.30808,1.01701,1.11729,0,0.47848,0.53968,0.51681,0.35756,0.49256,0.55556,0.49993,0.34337,1.00442,1.74607,1.76287,1.34345,0,0.0008516,0.0008516,0.0008516
60,262.921,0.81336,1.43411,1.08229,1.16589,0,0.52384,0.65079,0.58595,0.4172,0.52384,0.65079,0.5577,0.39254,0.90984,1.70406,1.4359,1.27327,0,0.0008318,0.0008318,0.0008318
61,267.491,0.82283,1.35755,1.26909,1.16948,0,0.60114,0.47619,0.58862,0.40567,0.43034,0.65079,0.54575,0.386,0.93747,1.67076,1.73194,1.26398,0,0.000812,0.000812,0.000812
62,272.155,0.86771,1.39448,1.13581,1.21623,0,0.49977,0.60317,0.54962,0.39807,0.49977,0.60317,0.50602,0.36923,0.93847,1.64368,2.28145,1.28909,0,0.0007922,0.0007922,0.0007922
63,276.699,0.91218,1.45275,1.01064,1.25408,0,0.49572,0.57739,0.5053,0.3718,0.50899,0.5924,0.50423,0.35457,0.90114,1.67128,1.6303,1.22856,0,0.0007724,0.0007724,0.0007724
64,281.204,0.80693,1.4153,0.98266,1.19385,0,0.55371,0.53968,0.51345,0.3598,0.55762,0.57143,0.5265,0.34377,0.98803,1.60583,1.70721,1.30536,0,0.0007526,0.0007526,0.0007526
65,285.702,0.86697,1.50764,1.03816,1.22568,0,0.52207,0.50794,0.51597,0.37191,0.47838,0.52381,0.48653,0.3534,0.95098,1.81674,2.09738,1.26203,0,0.0007328,0.0007328,0.0007328
66,290.251,0.86081,1.41951,1.04568,1.18922,0,0.57809,0.67425,0.59619,0.43392,0.56448,0.65838,0.55032,0.40432,0.88701,1.81438,2.11972,1.21544,0,0.000713,0.000713,0.000713
67,292.325,0.74245,1.25337,1.03142,1.10937,0,0.59137,0.66667,0.59135,0.43577,0.59137,0.66667,0.55543,0.40134,0.93779,1.6581,2.29403,1.26632,0,0.0006932,0.0006932,0.0006932
68,296.842,0.80486,1.30766,0.95552,1.17464,0,0.51095,0.55556,0.53339,0.37951,0.51095,0.55556,0.50366,0.34674,1.01794,1.66459,2.30991,1.3618,0,0.0006734,0.0006734,0.0006734
69,301.348,0.79201,1.36782,1.00545,1.14162,0,0.61443,0.65079,0.60906,0.40221,0.58396,0.61905,0.56758,0.39261,1.01517,1.83428,1.67122,1.35568,0,0.0006536,0.0006536,0.0006536
70,305.897,0.81991,1.27568,1.10193,1.20316,0,0.54171,0.57143,0.55962,0.42323,0.51752,0.59596,0.52835,0.38891,0.84756,1.74723,2.60759,1.18935,0,0.0006338,0.0006338,0.0006338
71,310.4,0.73003,1.21428,0.99802,1.10383,0,0.62509,0.55556,0.56735,0.41216,0.59259,0.5311,0.51643,0.3793,0.88537,1.70882,2.23647,1.22353,0,0.000614,0.000614,0.000614
72,314.94,0.78724,1.39013,1.03063,1.15695,0,0.53602,0.69841,0.59534,0.43673,0.53602,0.69841,0.58506,0.41081,0.88112,1.74209,2.69199,1.22515,0,0.0005942,0.0005942,0.0005942
73,319.433,0.78381,1.24026,0.91645,1.16347,0,0.6083,0.55556,0.56643,0.41766,0.60326,0.55513,0.54898,0.3787,0.82929,1.83228,1.565,1.20819,0,0.0005744,0.0005744,0.0005744
74,321.429,0.73078,1.29827,0.88917,1.13226,0,0.52444,0.63492,0.56942,0.41039,0.48413,0.66667,0.52258,0.37983,0.93113,1.87315,1.98336,1.32688,0,0.0005546,0.0005546,0.0005546
75,326.02,0.73766,1.25896,0.87422,1.14345,0,0.51465,0.65079,0.55875,0.40594,0.5021,0.63492,0.51816,0.37677,0.90736,1.82622,2.24907,1.28357,0,0.0005348,0.0005348,0.0005348
76,330.614,0.72551,1.18462,0.88875,1.11364,0,0.54493,0.62731,0.57962,0.42149,0.53419,0.61905,0.52471,0.39483,0.89423,1.72938,2.95286,1.25504,0,0.000515,0.000515,0.000515
77,335.214,0.69876,1.23656,0.83863,1.05802,0,0.62633,0.63492,0.59056,0.42656,0.55668,0.66667,0.54609,0.40723,0.8883,1.67118,2.50648,1.26936,0,0.0004952,0.0004952,0.0004952
78,339.852,0.78735,1.31333,1.10384,1.18864,0,0.59815,0.69841,0.59485,0.42563,0.58374,0.68254,0.56088,0.39243,0.92765,1.77567,2.56936,1.30611,0,0.0004754,0.0004754,0.0004754
79,344.477,0.79378,1.35361,0.99786,1.17118,0,0.6028,0.55556,0.5341,0.3766,0.6028,0.55556,0.50656,0.36103,0.97141,1.73842,1.9685,1.36267,0,0.0004556,0.0004556,0.0004556
80,349.036,0.69108,1.2202,0.90224,1.08946,0,0.57575,0.61905,0.5913,0.41853,0.57575,0.61905,0.53665,0.39481,0.93435,1.84528,1.55458,1.34959,0,0.0004358,0.0004358,0.0004358
81,351.125,0.74225,1.19605,0.88089,1.16576,0,0.58821,0.63492,0.56438,0.3964,0.58821,0.63492,0.54108,0.37871,1.00054,1.85201,2.74342,1.39598,0,0.000416,0.000416,0.000416
82,355.696,0.67189,1.08255,1.02508,1.08317,0,0.5781,0.39683,0.46785,0.32052,0.43409,0.49206,0.42069,0.28777,0.94994,2.04829,2.02645,1.33325,0,0.0003962,0.0003962,0.0003962
83,360.227,0.70611,1.21539,0.87884,1.14423,0,0.55029,0.63492,0.56198,0.40903,0.55029,0.63492,0.52886,0.3903,0.91993,1.96526,2.69946,1.29314,0,0.0003764,0.0003764,0.0003764
84,364.746,0.69695,1.25744,0.80361,1.09308,0,0.52687,0.60317,0.5709,0.39344,0.52687,0.60317,0.5151,0.36855,0.92093,1.79001,2.03694,1.30343,0,0.0003566,0.0003566,0.0003566
85,369.287,0.7682,1.22258,0.99154,1.13838,0,0.60077,0.65079,0.58922,0.40431,0.57986,0.63532,0.52337,0.384,0.9241,1.76846,2.77711,1.31354,0,0.0003368,0.0003368,0.0003368
86,373.867,0.68371,1.14705,0.8114,1.10995,0,0.65585,0.55556,0.57606,0.38244,0.58901,0.53968,0.50535,0.36698,1.00277,1.7647,1.84278,1.39381,0,0.000317,0.000317,0.000317
87,378.419,0.73087,1.29244,0.81535,1.10146,0,0.63223,0.63492,0.59544,0.39812,0.5893,0.60317,0.52829,0.37957,1.00477,1.7994,1.73071,1.39475,0,0.0002972,0.0002972,0.0002972
88,380.481,0.70355,1.13005,0.80631,1.09508,0,0.66133,0.53968,0.57395,0.3939,0.55073,0.58376,0.50891,0.3694,0.92748,1.75605,2.24666,1.29716,0,0.0002774,0.0002774,0.0002774
89,384.963,0.66172,1.18992,0.81903,1.08714,0,0.65743,0.5873,0.5806,0.40909,0.63941,0.57143,0.53007,0.38376,0.9378,1.69929,1.96285,1.29407,0,0.0002576,0.0002576,0.0002576
90,389.503,0.763,1.25298,0.77434,1.1366,0,0.61903,0.64485,0.58921,0.42005,0.60379,0.62898,0.53843,0.40312,0.92417,1.71443,1.91037,1.29604,0,0.0002378,0.0002378,0.0002378
91,394.343,0.5979,1.00509,0.74912,1.11408,0,0.67292,0.55556,0.57776,0.40953,0.65345,0.53968,0.54084,0.38894,0.97084,1.81715,2.14503,1.32677,0,0.000218,0.000218,0.000218
92,398.649,0.53639,0.97336,0.71762,1.00306,0,0.60176,0.68254,0.56937,0.40705,0.58777,0.66667,0.52008,0.39554,0.97,1.75123,2.41605,1.37901,0,0.0001982,0.0001982,0.0001982
